,Unnamed: 0,Name,Team,Number,Position,Age,Height,Weight,College,Salary
0,0,Avery Bradley,Boston Celtics,0,PG,25,165,180,Texas,7730337.0
1,1,Jae Crowder,Boston Celtics,99,SF,25,163,235,Marquette,6796117.0
2,2,John Holland,Boston Celtics,30,SG,27,176,205,Boston University,4833969.0
3,3,R.J. Hunter,Boston Celtics,28,SG,22,158,185,Georgia State,1148640.0
4,4,Jonas Jerebko,Boston Celtics,8,PF,29,165,231,,5000000.0
5,5,Amir Johnson,Boston Celtics,90,PF,29,169,240,,12000000.0
6,6,Jordan Mickey,Boston Celtics,55,PF,21,180,235,LSU,1170960.0
7,7,Kelly Olynyk,Boston Celtics,41,C,25,156,238,Gonzaga,2165160.0
8,8,Terry Rozier,Boston Celtics,12,PG,22,175,190,Louisville,1824360.0
9,9,Marcus Smart,Boston Celtics,36,PG,22,162,220,Oklahoma State,3431040.0
10,10,Jared Sullinger,Boston Celtics,7,C,24,159,260,Ohio State,2569260.0
11,11,Isaiah Thomas,Boston Celtics,4,PG,27,154,185,Washington,6912869.0
12,12,Evan Turner,Boston Celtics,11,SG,27,154,220,Ohio State,3425510.0
13,13,James Young,Boston Celtics,13,SG,20,173,215,Kentucky,1749840.0
14,14,Tyler Zeller,Boston Celtics,44,C,26,155,253,North Carolina,2616975.0
15,15,Bojan Bogdanovic,Brooklyn Nets,44,SG,27,167,216,,3425510.0
16,16,Markel Brown,Brooklyn Nets,22,SG,24,150,190,Oklahoma State,845059.0
17,17,Wayne Ellington,Brooklyn Nets,21,SG,28,158,200,North Carolina,1500000.0
18,18,Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,172,220,Arizona,1335480.0
19,19,Jarrett Jack,Brooklyn Nets,2,PG,32,169,200,Georgia Tech,6300000.0
20,20,Sergey Karasev,Brooklyn Nets,10,SG,22,180,208,,1599840.0
21,21,Sean Kilpatrick,Brooklyn Nets,6,SG,26,156,219,Cincinnati,134215.0
22,22,Shane Larkin,Brooklyn Nets,0,PG,23,153,175,Miami (FL),1500000.0
23,23,Brook Lopez,Brooklyn Nets,11,C,28,167,275,Stanford,19689000.0
24,24,Chris McCullough,Brooklyn Nets,1,PF,21,161,200,Syracuse,1140240.0
25,25,Willie Reed,Brooklyn Nets,33,PF,26,172,220,Saint Louis,947276.0
26,26,Thomas Robinson,Brooklyn Nets,41,PF,25,168,237,Kansas,981348.0
27,27,Henry Sims,Brooklyn Nets,14,C,26,151,248,Georgetown,947276.0
28,28,Donald Sloan,Brooklyn Nets,15,PG,28,169,205,Texas A&M,947276.0
29,29,Thaddeus Young,Brooklyn Nets,30,PF,27,179,221,Georgia Tech,11235955.0
